Pclass,Sex,Age,SibSp,Parch,Fare,Has_Cabin,Title,FamilySize,IsAlone,AgeGroup,FareGroup,Embarked_Q,Embarked_S,Survived
3,0,-0.5495553208033376,0.481287771858981,-0.444999501816175,-0.5031762030204289,0,0,0.07335229062787217,0,2,0,False,True,0
1,1,0.6613527049242514,0.481287771858981,-0.444999501816175,0.7348086421751847,1,2,0.07335229062787217,0,3,3,False,False,1
3,1,-0.24682831437144034,-0.47908676070718687,-0.444999501816175,-0.4901261217266795,0,1,-0.5583460543187373,1,2,1,False,True,1
1,1,0.43430745010032845,0.481287771858981,-0.444999501816175,0.38326265226609996,1,2,0.07335229062787217,0,2,3,False,True,1
3,0,0.43430745010032845,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,0,0,-0.5583460543187373,1,2,1,False,True,0
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.47981559083192915,0,0,-0.5583460543187373,1,2,1,True,False,0
1,0,1.8722607306518404,-0.47908676070718687,-0.444999501816175,0.3593375032275594,1,0,-0.5583460543187373,1,3,3,False,True,0
3,0,-2.063190352962824,2.4020368369913165,0.7107630931786129,-0.23589120467067404,0,3,1.9684473254677004,0,0,2,False,True,0
3,1,-0.17114656276346604,-0.47908676070718687,1.8665256881734007,-0.4280986020011448,0,2,0.7050506355744817,0,2,1,False,True,1
2,1,-1.155009333667132,0.481287771858981,-0.444999501816175,-0.061971321259844045,0,2,0.07335229062787217,0,1,2,False,False,1
3,1,-1.9118268497468751,0.481287771858981,0.7107630931786129,-0.32047506490793826,1,1,0.7050506355744817,0,0,2,False,True,1
1,1,2.1749877370837374,-0.47908676070718687,-0.444999501816175,-0.13004054528804052,1,1,-0.5583460543187373,1,3,2,False,True,1
3,0,-0.7009188240192862,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,0,0,-0.5583460543187373,1,2,1,False,True,0
3,0,0.7370344565322257,0.481287771858981,5.333813473157765,-0.03868997623179524,0,0,3.2318440153609194,0,3,2,False,True,0
3,1,-1.155009333667132,-0.47908676070718687,-0.444999501816175,-0.4914949302534906,0,1,-0.5583460543187373,1,1,0,False,True,0
2,1,1.9479424822598146,-0.47908676070718687,-0.444999501816175,-0.3340084825459005,0,2,-0.5583460543187373,1,3,2,False,True,1
3,0,-2.063190352962824,3.3624113695574844,0.7107630931786129,-0.0802569018341079,0,3,2.6001456704143098,0,0,2,True,False,0
2,0,0.01805781625646974,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,0,0,-0.5583460543187373,1,2,1,False,True,1
3,1,0.13158044366843122,0.481287771858981,-0.444999501816175,-0.29534157500886543,0,2,0.07335229062787217,0,2,2,False,True,0
3,1,-0.5495553208033376,-0.47908676070718687,-0.444999501816175,-0.5036595393646418,0,2,-0.5583460543187373,1,2,0,False,False,1
2,0,0.43430745010032845,-0.47908676070718687,-0.444999501816175,-0.14067394486072518,0,0,-0.5583460543187373,1,2,2,False,True,0
2,0,0.35862569849235415,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,1,0,-0.5583460543187373,1,2,1,False,True,1
3,1,-1.0793275820591577,-0.47908676070718687,-0.444999501816175,-0.48811157584400006,0,1,-0.5583460543187373,1,1,1,True,False,1
1,0,-0.09546481115549173,-0.47908676070718687,-0.444999501816175,0.04299386594019136,1,0,-0.5583460543187373,1,2,3,False,True,1
3,1,-1.609099843314978,2.4020368369913165,0.7107630931786129,-0.23589120467067404,0,1,1.9684473254677004,0,0,2,False,True,0
3,1,0.6613527049242514,0.481287771858981,5.333813473157765,-0.036514962682837,0,2,3.2318440153609194,0,3,3,False,True,1
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.5036595393646418,0,0,-0.5583460543187373,1,2,0,False,False,0
1,0,-0.7766005756272605,2.4020368369913165,1.8665256881734007,4.44135459827793,1,0,2.6001456704143098,0,2,3,False,True,0
3,1,-0.5495553208033376,-0.47908676070718687,-0.444999501816175,-0.4910115939092776,0,1,-0.5583460543187373,1,2,0,True,False,1
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,0,0,-0.5583460543187373,1,2,0,False,True,0
1,0,0.8127162081402,-0.47908676070718687,-0.444999501816175,-0.1074049376158602,0,4,-0.5583460543187373,1,3,2,False,False,0
1,1,0.5099892017083028,0.481287771858981,-0.444999501816175,2.1894093700840225,1,2,0.07335229062787217,0,3,3,False,False,1
3,1,-0.5495553208033376,-0.47908676070718687,-0.444999501816175,-0.49350947613617013,0,1,-0.5583460543187373,1,2,0,True,False,1
2,0,2.7804417499475322,-0.47908676070718687,-0.444999501816175,-0.4403424782727469,0,0,-0.5583460543187373,1,4,1,False,True,0
1,0,-0.09546481115549173,0.481287771858981,-0.444999501816175,0.9453016200799194,0,0,0.07335229062787217,0,2,3,False,False,0
1,0,0.9640797113561487,0.481287771858981,-0.444999501816175,0.3619958531207306,0,0,0.07335229062787217,0,3,3,False,True,0
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.5035783388588141,0,0,-0.5583460543187373,1,2,0,False,False,1
3,0,-0.6252370724113119,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,0,0,-0.5583460543187373,1,2,1,False,True,0
3,1,-0.8522823272352348,1.4416623044251486,-0.444999501816175,-0.29534157500886543,0,1,0.7050506355744817,0,1,2,False,True,0
3,1,-1.155009333667132,0.481287771858981,-0.444999501816175,-0.4260028556126374,0,1,0.07335229062787217,0,1,1,False,False,1
3,1,0.8127162081402,0.481287771858981,-0.444999501816175,-0.4601592683854773,0,2,0.07335229062787217,0,3,1,False,True,0
2,1,-0.17114656276346604,0.481287771858981,-0.444999501816175,-0.23734121370331285,0,2,0.07335229062787217,0,2,2,False,True,0
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.49069065857672023,0,0,-0.5583460543187373,1,2,0,False,False,0
2,1,-1.9875086013548495,0.481287771858981,1.8665256881734007,0.16052579808976314,0,1,1.3367489805210908,0,0,3,False,False,1
3,1,-0.7766005756272605,-0.47908676070718687,-0.444999501816175,-0.4910115939092776,0,1,-0.5583460543187373,1,2,0,True,False,1
3,0,-0.3225100659794147,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,0,0,-0.5583460543187373,1,2,1,False,True,0
3,0,-0.3225100659794147,0.481287771858981,-0.444999501816175,-0.3436752094301593,0,0,0.07335229062787217,0,2,2,True,False,0
3,1,-0.5495553208033376,-0.47908676070718687,-0.444999501816175,-0.49350947613617013,0,1,-0.5583460543187373,1,2,0,True,False,1
3,0,-0.3225100659794147,1.4416623044251486,-0.444999501816175,-0.2242099319037357,0,0,0.7050506355744817,0,2,2,False,False,0
3,1,-0.8522823272352348,0.481287771858981,-0.444999501816175,-0.2992082657625689,0,2,0.07335229062787217,0,1,2,False,True,0
3,0,-1.6847815949229523,3.3624113695574844,0.7107630931786129,0.12395270359585853,0,3,2.6001456704143098,0,0,3,False,True,0
3,0,-0.6252370724113119,-0.47908676070718687,-0.444999501816175,-0.4925428034477442,0,0,-0.5583460543187373,1,2,0,False,True,0
